,Unnamed: 0,compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD,band_g
0,0,B,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56992, 62747, 108026, 659240]",0.3729
1,1,C,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28417, 28418]",1.9344833333333333
2,2,C,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[27422, 66465, 252268]",2.3824714285714284
3,3,C,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28857, 28858, 28859, 28860, 28861, 28862, 28863, 29068, 29151, 44100, 44101, 52054, 53779, 66464, 76766, 190650, 190651, 190652, 190653, 655131, 656475]",4.1137
4,4,C,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[28419],
5,5,F2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[22271],2.3528
6,6,F2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[16262],1.3967500000000002
7,7,H2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[62003],7.822299999999999
8,8,I,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[109040],0.0
9,9,I,64,<i>Cmce</i>,trivial,LCEBR,None,[],[194468],1.039
10,10,I,71,<i>Immm</i>,SM,ESFD,Point,[],[109039],0.0
11,11,I2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[10084, 15318, 20329, 24009, 67612, 67613, 67614, 67615, 67616, 67617, 67618, 67704, 67705, 67706, 657497]",
12,12,K,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[44669],0.0
13,13,K,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44670, 44756, 53754, 196973, 641214, 641218]",0.0
14,14,K,62,<i>Pnma</i>,trivial,LCEBR,None,[],[165996],0.0
15,15,N2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,trivial,LCEBR,None,[],[24891],6.7429
16,16,N2,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],"[40936, 644520]",6.9556000000000004
17,17,N2,198,<i>P</i>2<sub>1</sub>3,trivial,LCEBR,None,[],"[15819, 27249]",5.1671
18,18,N2,205,<i>Pa</i>-3,trivial,LCEBR,None,[],"[15472, 26482, 28179]",7.3314
19,19,O,63,<i>Cmcm</i>,trivial,LCEBR,None,[],[92775],
20,20,O2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[18311, 43074, 173932, 173933]",1.2731000000000001
21,21,O2,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[15535, 43430, 173934, 190368, 190369]",1.2841000000000002
22,22,O2,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[16574],
23,23,O2,69,<i>Fmmm</i>,trivial,LCEBR,None,[],[37059],0.0
24,24,O3,61,<i>Pbca</i>,trivial,LCEBR,None,[],[51500],
25,25,O8,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],"[156481, 236855, 236856, 236857, 236858]",
