compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
B1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[56992, 62747, 108026, 659240]"
C1,166,<i>R</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28417, 28418]"
C1,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],"[27422, 66465, 252268]"
C1,227,<i>Fd</i>-3<i>m</i>,trivial,LCEBR,None,[],"[28857, 28858, 28859, 28860, 28861, 28862, 28863, 29068, 29151, 44100, 44101, 52054, 53779, 66464, 76766, 190650, 190651, 190652, 190653, 655131, 656475]"
C1,36,<i>Cmc</i>2<sub>1</sub>,trivial,LCEBR,None,[],[28419]
F2,12,<i>C</i>2/<i>m</i>,trivial,LCEBR,None,[],[22271]
F2,15,<i>C</i>2/<i>c</i>,trivial,LCEBR,None,[],[16262]
H2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,trivial,LCEBR,None,[],[62003]
I1,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],[109040]
I1,64,<i>Cmce</i>,trivial,LCEBR,None,[],[194468]
I1,71,<i>Immm</i>,SM,ESFD,Point,[],[109039]
I2,64,<i>Cmce</i>,trivial,LCEBR,None,[],"[10084, 15318, 20329, 24009, 67612, 67613, 67614, 67615, 67616, 67617, 67618, 67704, 67705, 67706, 657497]"
K1,225,<i>Fm</i>-3<i>m</i>,SM,ESFD,Point,[],[44669]
K1,229,<i>Im</i>-3<i>m</i>,SM,ESFD,Point,[],"[44670, 44756, 53754, 196973, 641214, 641218]"
K1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[165996]
N2,136,<i>P</i>4<sub>2</sub>/<i>mnm</i>,trivial,LCEBR,None,[],[24891]
N2,167,<i>R</i>-3<i>c</i>,trivial,LCEBR,None,[],"[40936, 644520]"
N2,198,<i>P</i>2<sub>1</sub>3,trivial,LCEBR,None,[],"[15819, 27249]"
N2,205,<i>Pa</i>-3,trivial,LCEBR,None,[],"[15472, 26482, 28179]"
